IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,67,15,19,15-19,0,Not applicable,1,Model-based Estimates,2,Interpolation,5515130.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,75,20,24,20-24,0,Not applicable,1,Model-based Estimates,2,Interpolation,4649785
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,57,25,29,25-29,0,Not applicable,1,Model-based Estimates,2,Interpolation,4170962
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,62,30,34,30-34,0,Not applicable,1,Model-based Estimates,2,Interpolation,3651803
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,63,35,39,35-39,0,Not applicable,1,Model-based Estimates,2,Interpolation,2960204.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,64,40,44,40-44,0,Not applicable,1,Model-based Estimates,2,Interpolation,2367457
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,69,45,49,45-49,0,Not applicable,1,Model-based Estimates,2,Interpolation,1910684
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,66,50,54,50-54,0,Not applicable,1,Model-based Estimates,2,Interpolation,1490819.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,68,55,59,55-59,0,Not applicable,1,Model-based Estimates,2,Interpolation,1099172
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,60,60,64,60-64,0,Not applicable,1,Model-based Estimates,2,Interpolation,753533.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,72,65,69,65-69,0,Not applicable,1,Model-based Estimates,2,Interpolation,499867.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,73,70,74,70-74,0,Not applicable,1,Model-based Estimates,2,Interpolation,347460
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,58,75,79,75-79,0,Not applicable,1,Model-based Estimates,2,Interpolation,219306
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,61,80,84,80-84,0,Not applicable,1,Model-based Estimates,2,Interpolation,139439
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,65,85,89,85-89,0,Not applicable,1,Model-based Estimates,2,Interpolation,74069.5
46,Population by 5-year age groups and sex,Annual population by 5-year age groups and by sex,World Population Prospects,2024,United Nations Population Division,404,Kenya,KE,KEN,69,2018,4,Median,3,Both sexes,74,90,94,90-94,0,Not applicable,1,Model-based Estimates,2,Interpolation,32176
