sector,year,loan_accounts,gross_loans,gross_npls
Agriculture,2021,123172,106201,19222
Manufacturing,2021,24114,466427,74647
Buildingandconstruction,2021,13465,121175,33731
MiningandQuarrying,2021,1783,25760,2468
Energyandwater,2021,3428,120380,16473
Trade,2021,300231,574525,100108
"Tourism,RestaurantandHotels",2021,7050,108896,24374
TransportandCommunication,2021,44542,252367,42500
RealEstate,2021,29937,458534,74932
FinancialServices,2021,11925,118444,5565
Personal/Household,2021,12457180,902720,65989
Agriculture,2020,119453,108053,23286
Manufacturing,2020,21778,416845,66626
Buildingandconstruction,2020,13154,117426,28492
MiningandQuarrying,2020,1612,21902,2993
Energyandwater,2020,3062,112172,12876
Trade,2020,280267,517729,101884
"Tourism,RestaurantandHotels",2020,7300,103181,16079
TransportandCommunication,2020,44028,223884,38178
RealEstate,2020,29873,444705,68448
FinancialServices,2020,11725,96608,7007
Personal/Household,2020,10892342,843599,70198
Personal/Household,2019,7861097,745048,56954
Trade,2019,276206,512314,88453
RealEstate,2019,28055,396350,48065
Manufacturing,2019,19764,352190,53894
TransportandCommunication,2019,38415,186390,19234
Buildingandconstruction,2019,12293,108973,24386
FinancialServices,2019,17698,102381,6819
Energyandwater,2019,2910,100533,11013
Agriculture,2019,115511,89579,16841
"Tourism,RestaurantandHotels",2019,6764,77696,8282
MiningandQuarrying,2019,1131,19456,1988
Personal/Household,2018,6728258,661460,45672
Trade,2018,255409,475423,81622
RealEstate,2018,28050,376237,47033
Manufacturing,2018,15213,323817,51791
TransportandCommunication,2018,30455,164271,14674
Energyandwater,2018,2186,109613,6859
Buildingandconstruction,2018,10559,102837,23692
FinancialServices,2018,14986,95780,6049
Agriculture,2018,95158,89961,30452
"Tourism,RestaurantandHotels",2018,4548,72134,6392
MiningandQuarrying,2018,1143,11987,2478
Agriculture,2022,124297,126463,27707
Manufacturing,2022,30693,530637,90884
Buildingandconstruction,2022,14903,144796,34531
MiningandQuarrying,2022,2179,30980,2883
Energyandwater,2022,4240,142689,23773
Trade,2022,459095,652574,107200
"Tourism,RestaurantandHotels",2022,8302,108168,12287
TransportandCommunication,2022,50199,310173,42580
RealEstate,2022,31146,467171,81075
FinancialServices,2022,14630,132484,5658
Personal/Household,2022,13702607,984116,74665
